0	0
0.005	23
0.015	162
0.025	339
0.035	1112
0.045	16879
0.055	37437
0.065	100285
0.075	132984
0.085	169417
0.095	209509
0.105	190037
0.115	189991
0.125	184931
0.135	178577
0.145	173395
0.155	168121
0.165	156716
0.175	147171
0.185	188446
0.195	128794
0.205	122729
0.215	117851
0.225	113149
0.235	108881
0.245	162404
0.255	94411
0.265	90674
0.275	87850
0.285	85458
0.295	241696
0.305	67569
0.315	65619
0.325	64306
0.335	62605
0.345	61210
0.355	384694
0.365	37705
0.375	37034
0.385	35902
0.395	34793
0.405	34231
0.415	33878
0.425	33146
0.435	32423
0.445	31719
0.455	31481
0.465	30495
0.475	30182
0.485	29752
0.495	29170
0.505	29113
0.515	28456
0.525	27817
0.535	28015
0.545	27578
0.555	27206
0.565	26831
0.575	26745
0.585	26375
0.595	26337
0.605	556604
0.615	12185
0.625	12047
0.635	11692
0.645	11668
0.655	11394
0.665	11625
0.675	11245
0.685	11326
0.695	11054
0.705	10960
0.715	10927
0.725	10572
0.735	10669
0.745	10261
0.755	10457
0.765	73861
0.775	9072
0.785	9188
0.795	9041
0.805	8784
0.815	8834
0.825	8644
0.835	8826
0.845	8602
0.855	8703
0.865	8497
0.875	8465
0.885	8637
0.895	8186
0.905	8291
0.915	8307
0.925	8245
0.935	51742
0.945	7643
0.955	7537
0.965	7563
0.975	7551
0.985	7472
0.995	7347
1.005	7276
1.015	7357
1.025	7478
1.035	7212
1.045	7428
1.055	7205
1.065	7128
1.075	7157
1.085	7106
1.095	7187
1.105	6978
1.115	7085
1.125	237375
1.135	4734
1.145	4630
1.155	4611
1.165	4675
1.175	4629
1.185	4606
1.195	4541
1.205	4594
1.215	4675
1.225	4466
1.235	101984
1.245	3644
1.255	3652
1.265	3633
1.275	3758
1.285	3676
1.295	3546
1.305	3622
1.315	3631
1.325	3607
1.335	3437
1.345	3473
1.355	3540
1.365	3558
1.375	71307
1.385	2989
1.395	3035
1.405	53084
1.415	2718
1.425	2637
1.435	2607
1.445	2620
1.455	2658
1.465	2631
1.475	2614
1.485	2683
1.495	2621
1.505	41460
1.515	2271
1.525	2381
1.535	2289
1.545	2320
1.555	2417
1.565	2312
1.575	2366
1.585	2245
1.595	2375
1.605	2345
1.615	2330
1.625	2364
1.635	2289
1.645	2313
1.655	2312
1.665	2286
1.675	2352
1.685	2240
1.695	2311
1.705	2307
1.715	2354
1.725	60752
1.735	2042
1.745	2042
1.755	1964
1.765	309308
1.775	421
1.785	417
1.795	405
1.805	415
1.815	416
1.825	393
1.835	381
1.845	410
1.855	383
1.865	423
1.875	380
1.885	430
1.895	432
1.905	387
1.915	423
1.925	423
1.935	394
1.945	394
1.955	363
1.965	403
1.975	435
1.985	385
1.995	409
2.005	406
2.015	404
2.025	422
2.035	369
2.045	399
2.055	415
2.065	441
2.075	419
2.085	389
2.095	407
2.105	402
2.115	383
2.125	416
2.135	417
2.145	423
2.155	397
2.165	403
2.175	423
2.185	408
2.195	393
2.205	108240
